date,ticker,close,currency,source
2026-09-05,MSFT,499.7,USD,sheet
2026-09-05,MTSI,268.95,USD,sheet
2026-09-05,MU,1016.59,USD,sheet
2026-09-05,NBIS,226.39,USD,sheet
2026-09-05,NFLX,78.25,USD,sheet
2026-09-05,NOK,10.03,USD,sheet
2026-09-05,NVDA,230.36,USD,sheet
2026-09-05,NVTS,11.8,USD,sheet
2026-09-05,ORCL,158.78,USD,sheet
2026-09-05,OUST,36.43,USD,sheet
2026-09-05,POET,7.92,USD,sheet
2026-09-05,QBTS,16.58,USD,sheet
2026-09-05,QCOM,168.74,USD,sheet
2026-09-05,QQQ,718.96,USD,sheet
2026-09-05,RDDT,144.64,USD,sheet
2026-09-05,RGTI,15.2,USD,sheet
2026-09-05,RKLB,62.54,USD,sheet
2026-09-05,SHAZ,55.94,USD,sheet
2026-09-05,SIMO,256.21,USD,sheet
2026-09-05,SIVE,27.26,SEK,sheet
2026-09-05,SMH,567.01,USD,sheet
2026-09-05,SMHD,2.37,USD,sheet
2026-09-05,SMTC,147.89,USD,sheet
2026-09-05,SNDK,1740,USD,sheet
2026-09-05,SOI,0.18,CAD,sheet
2026-09-05,SOI.PA,128.3,EUR,sheet
2026-09-05,SPCX,147.95,USD,sheet
2026-09-05,TER,357.03,USD,sheet
2026-09-05,TSEM,222.34,USD,sheet
2026-09-05,TSLA,354.08,USD,sheet
2026-09-05,TSM,428.91,USD,sheet
2026-09-05,UBER,75.76,USD,sheet
2026-09-05,UPWK,8.79,USD,sheet
2026-09-05,VECO,44.67,USD,sheet
2026-09-05,VPG,63.01,USD,sheet
2026-09-05,VRT,280.53,USD,sheet
2026-09-05,WLAC,18.83,USD,sheet
2026-09-05,WULF,16.51,USD,sheet
2026-09-05,XFAB,6.05,EUR,sheet
2026-09-05,XPEV,10.95,USD,sheet
2026-09-06,000660.KS,1.647e+06,KRW,sheet
2026-09-06,AAOI,105.53,USD,sheet
2026-09-06,AAPL,319.97,USD,sheet
2026-09-06,ACMR,74.44,USD,sheet
2026-09-06,AEHR,86.26,USD,sheet
2026-09-06,AEVA,15.69,USD,sheet
2026-09-06,AGLT,1,USD,sheet
2026-09-06,ALAB,310.4,USD,sheet
2026-09-06,ALMU,12.94,USD,sheet
2026-09-06,AMAT,454.71,USD,sheet
2026-09-06,AMD,477.57,USD,sheet
2026-09-06,AMKR,47.77,USD,sheet
2026-09-06,AMZN,258.51,USD,sheet
2026-09-06,ARM,252.09,USD,sheet
2026-09-06,ASML,1714.88,USD,sheet
2026-09-06,ASTS,65.06,USD,sheet
2026-09-06,ASX,37.51,USD,sheet
2026-09-06,AVGO,357.9,USD,sheet
2026-09-06,AXTI,61.64,USD,sheet
2026-09-06,BABA,113.24,USD,sheet
2026-09-06,BE,252.87,USD,sheet
2026-09-06,BOT,26.8,USD,sheet
2026-09-06,BRUN,17.64,USD,sheet
2026-09-06,BULL,9.74,USD,sheet
2026-09-06,BWA,67.54,USD,sheet
2026-09-06,CAMT,145.72,USD,sheet
2026-09-06,CATL,351,CNY,sheet
2026-09-06,CBRS,210.05,USD,sheet
2026-09-06,CCXI,13.4,USD,sheet
2026-09-06,CEG,298.96,USD,sheet
2026-09-06,CIFR,17.74,USD,sheet
2026-09-06,COHR,281.86,USD,sheet
2026-09-06,COIN,184.64,USD,sheet
2026-09-06,CRCL,62.61,USD,sheet
2026-09-06,CRWV,89.36,USD,sheet
2026-09-06,DASH,211.73,USD,sheet
2026-09-06,DJT,9.02,USD,sheet
2026-09-06,DRAM,5.9,USD,sheet
2026-09-06,ENS,181.91,USD,sheet
2026-09-06,EOS,21.62,USD,sheet
2026-09-06,ETHA,18.52,USD,sheet
2026-09-06,ETN,410.85,USD,sheet
2026-09-06,EWY,188.87,USD,sheet
2026-09-06,FCEL,14.95,USD,sheet
2026-09-06,FDX,322.52,USD,sheet
2026-09-06,FN,407.4,USD,sheet
2026-09-06,FORD,14.62,USD,sheet
2026-09-06,GEV,941.95,USD,sheet
2026-09-06,GFS,45.21,USD,sheet
2026-09-06,GLW,154.3,USD,sheet
2026-09-06,GM,86.32,USD,sheet
2026-09-06,GOOGL,338.46,USD,sheet
2026-09-06,HIMS,27.71,USD,sheet
2026-09-06,HIMX,13.68,USD,sheet
2026-09-06,HOOD,122.11,USD,sheet
2026-09-06,IBIT,45.23,USD,sheet
2026-09-06,IBM,234.89,USD,sheet
2026-09-06,INTC,95.8,USD,sheet
2026-09-06,IONQ,39.52,USD,sheet
2026-09-06,IQE,47,GBX,sheet
2026-09-06,IREN,44.68,USD,sheet
2026-09-06,JBL,310.57,USD,sheet
2026-09-06,JD,28.26,USD,sheet
2026-09-06,KLAC,185.6,USD,sheet
2026-09-06,LITE,881.26,USD,sheet
2026-09-06,LPK.DE,13.3,EUR,sheet
2026-09-06,LRCX,307.65,USD,sheet
2026-09-06,LWLG,5.35,USD,sheet
2026-09-06,MELI,1921.96,USD,sheet
2026-09-06,META,616.77,USD,sheet
2026-09-06,MRVL,223.55,USD,sheet
2026-09-06,MSFT,499.7,USD,sheet
2026-09-06,MTSI,268.95,USD,sheet
2026-09-06,MU,1016.59,USD,sheet
2026-09-06,NBIS,226.39,USD,sheet
2026-09-06,NFLX,78.25,USD,sheet
2026-09-06,NOK,10.03,USD,sheet
2026-09-06,NVDA,230.36,USD,sheet
2026-09-06,NVTS,11.8,USD,sheet
2026-09-06,ORCL,158.78,USD,sheet
2026-09-06,OUST,36.43,USD,sheet
2026-09-06,POET,7.92,USD,sheet
2026-09-06,QBTS,16.58,USD,sheet
2026-09-06,QCOM,168.74,USD,sheet
2026-09-06,QQQ,718.96,USD,sheet
2026-09-06,RDDT,144.64,USD,sheet
2026-09-06,RGTI,15.2,USD,sheet
2026-09-06,RKLB,62.54,USD,sheet
2026-09-06,SHAZ,55.94,USD,sheet
2026-09-06,SIMO,256.21,USD,sheet
2026-09-06,SIVE,27.26,SEK,sheet
2026-09-06,SMH,567.01,USD,sheet
2026-09-06,SMHD,2.37,USD,sheet
2026-09-06,SMTC,147.89,USD,sheet
2026-09-06,SNDK,1740,USD,sheet
2026-09-06,SOI,0.18,CAD,sheet
2026-09-06,SOI.PA,128.3,EUR,sheet
2026-09-06,SPCX,147.95,USD,sheet
2026-09-06,TER,357.03,USD,sheet
2026-09-06,TSEM,222.34,USD,sheet
2026-09-06,TSLA,354.08,USD,sheet
2026-09-06,TSM,428.91,USD,sheet
2026-09-06,UBER,75.76,USD,sheet
2026-09-06,UPWK,8.79,USD,sheet
2026-09-06,VECO,44.67,USD,sheet
2026-09-06,VPG,63.01,USD,sheet
2026-09-06,VRT,280.53,USD,sheet
2026-09-06,WLAC,18.83,USD,sheet
2026-09-06,WULF,16.51,USD,sheet
2026-09-06,XFAB,6.05,EUR,sheet
2026-09-06,XPEV,10.95,USD,sheet
2026-09-07,000660.KS,1.7355e+06,KRW,sheet
2026-09-07,AAOI,105.53,USD,sheet
2026-09-07,AAPL,319.97,USD,sheet
2026-09-07,ACMR,74.44,USD,sheet
2026-09-07,AEHR,86.26,USD,sheet
2026-09-07,AEVA,15.69,USD,sheet
2026-09-07,AGLT,1,USD,sheet
2026-09-07,ALAB,310.4,USD,sheet
2026-09-07,ALMU,12.94,USD,sheet
2026-09-07,AMAT,454.71,USD,sheet
2026-09-07,AMD,477.57,USD,sheet
2026-09-07,AMKR,47.77,USD,sheet
2026-09-07,AMZN,258.51,USD,sheet
2026-09-07,ARM,252.09,USD,sheet
2026-09-07,ASML,1714.88,USD,sheet
2026-09-07,ASTS,65.06,USD,sheet
2026-09-07,ASX,37.51,USD,sheet
2026-09-07,AVGO,357.9,USD,sheet
2026-09-07,AXTI,61.64,USD,sheet
2026-09-07,BABA,113.24,USD,sheet
2026-09-07,BE,252.87,USD,sheet
2026-09-07,BOT,26.8,USD,sheet
2026-09-07,BRUN,17.64,USD,sheet
2026-09-07,BULL,9.74,USD,sheet
2026-09-07,BWA,67.54,USD,sheet
2026-09-07,CAMT,145.72,USD,sheet
2026-09-07,CATL,351,CNY,sheet
2026-09-07,CBRS,210.05,USD,sheet
2026-09-07,CCXI,13.4,USD,sheet
2026-09-07,CEG,298.96,USD,sheet
2026-09-07,CIFR,17.74,USD,sheet
2026-09-07,COHR,281.86,USD,sheet
2026-09-07,COIN,184.64,USD,sheet
2026-09-07,CRCL,62.61,USD,sheet
2026-09-07,CRWV,89.36,USD,sheet
2026-09-07,DASH,211.73,USD,sheet
2026-09-07,DJT,9.02,USD,sheet
2026-09-07,DRAM,5.9,USD,sheet
2026-09-07,ENS,181.91,USD,sheet
2026-09-07,EOS,21.62,USD,sheet
2026-09-07,ETHA,18.52,USD,sheet
2026-09-07,ETN,410.85,USD,sheet
2026-09-07,EWY,188.87,USD,sheet
2026-09-07,FCEL,14.95,USD,sheet
2026-09-07,FDX,322.52,USD,sheet
2026-09-07,FN,407.4,USD,sheet
2026-09-07,FORD,14.62,USD,sheet
2026-09-07,GEV,941.95,USD,sheet
2026-09-07,GFS,45.21,USD,sheet
2026-09-07,GLW,154.3,USD,sheet
2026-09-07,GM,86.32,USD,sheet
2026-09-07,GOOGL,338.46,USD,sheet
2026-09-07,HIMS,27.71,USD,sheet
2026-09-07,HIMX,13.68,USD,sheet
2026-09-07,HOOD,122.11,USD,sheet
2026-09-07,IBIT,45.23,USD,sheet
2026-09-07,IBM,234.89,USD,sheet
2026-09-07,INTC,95.8,USD,sheet
2026-09-07,IONQ,39.52,USD,sheet
2026-09-07,IQE,47,GBX,sheet
2026-09-07,IREN,44.68,USD,sheet
2026-09-07,JBL,310.57,USD,sheet
2026-09-07,JD,28.26,USD,sheet
2026-09-07,KLAC,185.6,USD,sheet
2026-09-07,LITE,881.26,USD,sheet
2026-09-07,LPK.DE,13.3,EUR,sheet
2026-09-07,LRCX,307.65,USD,sheet
2026-09-07,LWLG,5.35,USD,sheet
2026-09-07,MELI,1921.96,USD,sheet
2026-09-07,META,616.77,USD,sheet
2026-09-07,MRVL,223.55,USD,sheet
2026-09-07,MSFT,499.7,USD,sheet
2026-09-07,MTSI,268.95,USD,sheet
2026-09-07,MU,1016.59,USD,sheet
2026-09-07,NBIS,226.39,USD,sheet
2026-09-07,NFLX,78.25,USD,sheet
2026-09-07,NOK,10.03,USD,sheet
2026-09-07,NVDA,230.36,USD,sheet
2026-09-07,NVTS,11.8,USD,sheet
2026-09-07,ORCL,158.78,USD,sheet
2026-09-07,OUST,36.43,USD,sheet
2026-09-07,POET,7.92,USD,sheet
2026-09-07,QBTS,16.58,USD,sheet
2026-09-07,QCOM,168.74,USD,sheet
2026-09-07,QQQ,718.96,USD,sheet
2026-09-07,RDDT,144.64,USD,sheet
2026-09-07,RGTI,15.2,USD,sheet
2026-09-07,RKLB,62.54,USD,sheet
2026-09-07,SHAZ,55.94,USD,sheet
2026-09-07,SIMO,256.21,USD,sheet
2026-09-07,SIVE,27.26,SEK,sheet
2026-09-07,SMH,567.01,USD,sheet
2026-09-07,SMHD,2.37,USD,sheet
2026-09-07,SMTC,147.89,USD,sheet
2026-09-07,SNDK,1740,USD,sheet
2026-09-07,SOI,0.18,CAD,sheet
2026-09-07,SOI.PA,128.3,EUR,sheet
2026-09-07,SPCX,147.95,USD,sheet
2026-09-07,TER,357.03,USD,sheet
2026-09-07,TSEM,222.34,USD,sheet
2026-09-07,TSLA,354.08,USD,sheet
2026-09-07,TSM,428.91,USD,sheet
2026-09-07,UBER,75.76,USD,sheet
2026-09-07,UPWK,8.79,USD,sheet
2026-09-07,VECO,44.67,USD,sheet
2026-09-07,VPG,63.01,USD,sheet
2026-09-07,VRT,280.53,USD,sheet
2026-09-07,WLAC,18.83,USD,sheet
2026-09-07,WULF,16.51,USD,sheet
2026-09-07,XFAB,6.05,EUR,sheet
2026-09-07,XPEV,10.95,USD,sheet
2026-09-08,000660.KS,1.838e+06,KRW,sheet
2026-09-08,AAOI,105.53,USD,sheet
2026-09-08,AAPL,319.97,USD,sheet
2026-09-08,ACMR,74.44,USD,sheet
2026-09-08,AEHR,86.26,USD,sheet
2026-09-08,AEVA,15.69,USD,sheet
2026-09-08,AGLT,1,USD,sheet
